(seconds),CD1(1),LAB(1),CD1(2),LAB(2),CD1(3),LAB(3),lux
0,331,5967,625,4789,256,8042,314.433
3600,162,6429,985,2498,1948,432,315.859
7200,19,6065,118,287,778,7734,313.089
10800,319,5973,1416,3769,507,1545,314.79
14400,79,1473,1552,1494,1125,3519,316.121
18000,148,3778,73,1119,482,207,315.55
21600,237,2026,1773,50,1152,3243,314.886
25200,22,33,257,135,45,407,315.718
28800,378,2248,851,3474,866,2093,316.753
32400,99,1566,3861,41,2561,3370,315.607
36000,536,225,284,931,612,1768,313.773
39600,647,2917,3596,1479,2067,4776,314.148
43200,694,2516,579,2290,3720,6260,58.147
46800,1346,4217,3624,3587,8009,7721,0
50400,1192,5404,5321,4507,7324,6931,0
54000,462,6302,2542,4654,6937,4080,0
57600,1179,3615,1917,5495,1351,8737,0
61200,1821,5991,4522,3951,2895,6913,0
64800,2449,6195,229,4497,7196,6912,0
68400,3306,5549,3031,792,5683,4684,0
72000,165,3039,6020,3138,632,3949,0
75600,302,2956,1139,4458,66,2898,0
79200,1037,3342,385,2128,5157,6810,0
82800,1041,4718,4318,5617,1603,6775,0
86400,178,6325,3917,5613,448,630,314.61
90000,142,6360,53,1125,1331,4314,316.149
93600,272,7074,777,3297,1531,448,315.523
97200,6,1876,231,1316,138,3337,317.167
100800,366,2812,1551,244,2747,2056,313.922
104400,125,2835,59,3579,35,196,315.812
108000,23,1786,788,36,1306,2742,315.994
111600,212,354,130,2505,408,2800,317.45
115200,183,334,1194,92,852,1467,317.137
118800,742,3205,2041,658,1058,5477,316.014
122400,108,1813,404,657,564,2672,314.024
126000,672,1938,3743,2474,2451,4187,313.969
129600,798,2729,1502,4039,3387,6816,28.299
133200,2596,4042,4980,2789,7887,7722,0
136800,2537,5096,6290,4275,5237,4359,0
140400,1659,3850,252,5224,2696,6970,0
144000,736,3442,4872,5139,6932,5312,0
147600,2419,1806,922,3481,3078,5508,0
151200,1831,4814,2259,4886,7151,5920,0
154800,2393,4905,6163,3475,2436,5259,0
158400,156,2595,7481,1097,2684,4395,0
162000,197,2812,7519,3027,208,2600,0
165600,2397,6011,343,748,507,3416,0
169200,47,970,476,4772,1854,8433,0
172800,126,6511,523,4448,715,981,313.768
176400,152,5311,444,414,70,5137,315.455
180000,507,5366,55,2694,1589,3234,314.562
183600,336,151,253,2187,63,3543,316.108
187200,211,3352,106,130,1770,1044,314.117
190800,9,1265,4474,1118,61,1220,314.228
194400,102,43,246,817,1555,3307,314.938
198000,9,3609,61,477,69,1176,314.909
201600,153,140,739,1849,1144,212,312.747
205200,724,1678,1980,148,652,2173,312.066
208800,617,105,1743,1450,1000,2458,311.71
212400,345,1322,1636,1562,1855,4958,312.864
216000,1294,2419,3049,5159,3753,5694,66.084
219600,1777,4828,5354,2963,5336,7122,0
223200,1399,5341,3110,4417,2242,5813,0
226800,104,3988,4378,2442,5457,5992,0
230400,1536,5503,673,3996,8694,5179,0
234000,613,2416,4722,5585,5952,7663,4.694
237600,2494,5793,5603,3035,4006,5546,315.359
241200,775,5802,1227,1402,1842,7190,315.795
244800,69,6049,393,19,1031,1880,315.864
248400,2423,2731,2991,3518,1571,4286,314.269
252000,772,1350,2466,5159,988,8715,312.835
255600,520,4287,1166,536,120,2343,312.955
259200,945,1622,469,4351,1944,7519,315.233
262800,205,7072,2578,570,84,2179,315.947
266400,93,8190,112,2469,2411,3253,314.408
270000,619,1487,352,67,42,3582,313.669
273600,555,1882,324,3031,1130,117,314.699
277200,17,3764,1240,3,596,209,316.863
280800,602,695,466,2108,117,3477,104.243
284400,41,3790,549,156,2797,1800,0
288000,175,898,73,1490,582,4118,0
291600,182,254,3170,1966,1361,2316,0
295200,572,1776,598,1643,1522,2504,0
298800,488,1185,3519,3129,2236,8218,0
302400,1232,3877,1106,2982,3653,4078,0
306000,324,3840,5460,2733,7086,7081,0
309600,420,4709,3694,4192,3173,4403,0
313200,2860,4388,74,3452,3545,3977,0
316800,829,5227,1379,3040,8362,6910,0
320400,1944,5313,541,3204,7710,4415,4.223
324000,776,5706,5821,302,4076,4541,314.072
327600,168,3873,133,2539,1604,2770,315.385
331200,3356,2510,545,4529,1110,3263,312.905
334800,478,2445,5791,1617,917,3428,314.653
338400,817,4361,1075,257,1115,3476,315.153
342000,74,3703,177,116,1566,5165,314.784
345600,8,5192,795,318,1388,2792,312.66
349200,1121,1372,1964,37,188,5525,313.552
352800,123,2847,42,40,1609,2534,314.826
356400,9,3316,295,103,366,116,313.667
360000,25,220,1013,49,880,2515,315.055
363600,7,4654,37,75,46,183,314.826
367200,76,96,2967,56,692,2838,206.977
370800,12,269,47,689,2950,1317,0
374400,800,4341,1546,164,238,2950,0
378000,68,129,5712,2307,2010,2977,0
381600,725,5401,366,2988,1216,2110,0
385200,1219,1741,2404,5362,5766,5153,0
388800,364,4844,6791,4281,2964,6069,0
392400,1190,5126,1571,4180,600,7899,0
396000,349,5000,7070,4777,3681,3083,0
399600,526,4168,1210,4185,6699,3847,0
403200,1862,4609,1713,3682,2253,6705,0
406800,3149,6449,4304,970,4993,3930,5.545
410400,916,6084,4822,7215,602,2132,313.873
414000,2719,314,74,4734,2212,1772,313.996
417600,405,4940,382,3174,1727,6814,315.532
421200,42,1629,1216,552,78,2332,314.523
424800,852,2676,1525,2877,2452,2000,314.956
428400,135,6140,742,3766,44,2830,312.955
432000,368,2750,52,190,1077,3957,312.74
435600,12,1602,36,1700,1786,3662,312.197
439200,86,4943,2565,1584,76,1191,315.181
442800,50,388,139,662,364,2402,313.166
446400,149,2831,221,1004,1005,138,313.515
450000,60,388,1250,78,1527,2910,316.06
453600,157,4011,41,350,59,1277,149.177
457200,361,50,2616,1741,1333,1870,0
460800,456,707,6060,3727,1016,2744,0
464400,645,2561,217,3424,1106,6971,0
468000,632,2962,6214,2655,2557,2216,0
471600,1531,5398,2151,4057,6429,7792,0
475200,582,4163,4324,3264,2978,7614,0
478800,810,4936,2026,4629,2753,7541,0
482400,295,4831,3808,231,4864,6108,0
486000,732,4545,2295,3582,4353,6244,0
489600,1472,3974,4134,2578,3730,6878,0
493200,1734,2012,6383,3212,2962,5410,5.781
496800,801,4323,4073,4457,502,7248,314.621
500400,60,5595,392,2230,1617,6625,315.121
504000,862,4979,767,85,77,9380,312.641
507600,6,3986,37,3091,2278,7489,311.896
511200,401,2593,1647,82,36,760,313.773
514800,6,941,278,961,612,8439,311.854
518400,44,1295,593,1768,1757,211,312.181
522000,441,3225,31,19,66,6747,313.669
525600,9,139,1230,2064,1227,471,312.21
529200,131,2237,2308,25,1434,721,314.729
532800,15,32,37,1688,337,3328,313.168
536400,272,97,453,44,1445,3223,315.185
540000,571,3118,876,566,210,1375,165.491
543600,158,2180,3911,3851,1442,5824,0
547200,444,5862,584,4068,1359,1373,0
550800,164,4409,1423,4923,4641,4075,0
554400,595,5809,3674,4244,3372,6563,0
558000,2184,4590,934,4233,3352,5997,0
561600,851,5745,1829,6011,4090,4440,0
565200,944,4624,3615,4676,2569,1236,0
568800,1811,2915,602,3289,7474,7066,0
572400,2174,5815,4341,2220,6345,3326,0
576000,354,6942,123,3213,447,6450,0
579600,2230,6284,3930,3949,858,3524,5.711
